,precision,recall,f1-score,support
okra::Yellow vein mosaic virus,1.0,1.0,1.0,157.0
onion::Botrytis leaf blight,0.9024390243902439,1.0,0.9487179487179487,37.0
onion::Caterpillar (pest),0.9741379310344828,0.9826086956521739,0.9783549783549783,115.0
onion::Downy mildew,0.8571428571428571,1.0,0.9230769230769231,6.0
onion::Fusarium basal rot,0.9469026548672567,0.9907407407407407,0.9683257918552036,108.0
onion::Healthy,0.9725490196078431,0.96875,0.9706457925636007,256.0
onion::Iris yellow spot virus,0.8260869565217391,0.926829268292683,0.8735632183908046,41.0
onion::Purple blotch,0.952755905511811,0.937984496124031,0.9453125,129.0
onion::Rust,1.0,1.0,1.0,29.0
onion::Stemphylium / Colletotrichum blight,0.9743589743589743,0.9559748427672956,0.9650793650793651,159.0
onion::Xanthomonas leaf blight,1.0,1.0,1.0,27.0
papaya::Anthracnose,1.0,1.0,1.0,76.0
papaya::Bacterial spot,1.0,1.0,1.0,55.0
papaya::Healthy,1.0,1.0,1.0,49.0
papaya::Leaf curl virus,1.0,1.0,1.0,156.0
papaya::Mealybug (pest),1.0,1.0,1.0,53.0
papaya::Mite damage,1.0,1.0,1.0,96.0
papaya::Mosaic virus,1.0,1.0,1.0,60.0
papaya::Ring spot virus,0.9782608695652174,1.0,0.989010989010989,90.0
peach::Bacterial spot,1.0,1.0,1.0,276.0
peach::Brown rot,0.8148148148148148,1.0,0.8979591836734694,22.0
peach::Healthy,0.863013698630137,0.863013698630137,0.863013698630137,73.0
peach::Leaf curl,0.8536585365853658,1.0,0.9210526315789473,35.0
peach::Scab,1.0,1.0,1.0,9.0
pomegranate::Alternaria fruit spot,0.9918032786885246,0.9918032786885246,0.9918032786885246,122.0
pomegranate::Anthracnose,0.9915254237288136,0.9435483870967742,0.9669421487603306,248.0
pomegranate::Bacterial blight (oily spot),0.9819819819819819,0.990909090909091,0.9864253393665159,110.0
pomegranate::Cercospora fruit spot,0.9888888888888889,0.978021978021978,0.9834254143646409,91.0
pomegranate::Fruit borer (pest),0.9176470588235294,1.0,0.9570552147239264,78.0
pomegranate::Healthy,0.9925650557620818,0.996268656716418,0.994413407821229,268.0
pomegranate::Sunburn,0.9285714285714286,1.0,0.9629629629629629,52.0
potato::Early blight,0.8728813559322034,0.9035087719298246,0.8879310344827587,114.0
potato::Healthy,0.891566265060241,0.8809523809523809,0.8862275449101796,84.0
potato::Insect pest damage,0.9659090909090909,0.9444444444444444,0.9550561797752809,90.0
potato::Late blight,0.92018779342723,0.9514563106796117,0.9355608591885441,206.0
potato::Virus disease,0.9620253164556962,0.9743589743589743,0.9681528662420382,78.0
pumpkin::Bacterial leaf spot,0.8181818181818182,0.8571428571428571,0.8372093023255814,42.0
pumpkin::Downy mildew,0.8225806451612904,0.9272727272727272,0.8717948717948718,55.0
pumpkin::Healthy,0.9024390243902439,0.9736842105263158,0.9367088607594937,38.0
pumpkin::Mosaic virus,0.9629629629629629,0.9285714285714286,0.9454545454545454,56.0
pumpkin::Powdery mildew,0.9534883720930233,0.7735849056603774,0.8541666666666666,53.0
radish::Black leaf spot,1.0,1.0,1.0,6.0
radish::Downy mildew,1.0,1.0,1.0,10.0
radish::Flea beetle (pest),1.0,1.0,1.0,9.0
radish::Healthy,1.0,1.0,1.0,8.0
radish::Mosaic virus,1.0,1.0,1.0,5.0
raspberry::Healthy,1.0,1.0,1.0,18.0
rice::Bacterial leaf blight,0.8769230769230769,0.95,0.912,120.0
rice::Bacterial leaf streak,0.8333333333333334,1.0,0.9090909090909091,5.0
rice::Bacterial panicle blight,0.6666666666666666,1.0,0.8,4.0
rice::Blast,0.9176029962546817,0.8032786885245902,0.8566433566433567,305.0
rice::Brown spot,0.8581081081081081,0.9694656488549618,0.910394265232975,131.0
rice::Dead heart (stem borer),1.0,0.9705882352941176,0.9850746268656716,68.0
rice::Downy mildew,0.4,0.5714285714285714,0.47058823529411764,7.0
rice::Healthy,0.906832298136646,0.8066298342541437,0.8538011695906432,181.0
rice::Hispa (pest),0.8333333333333334,0.9090909090909091,0.8695652173913043,22.0
rice::Leaf folder (pest),0.8,0.8888888888888888,0.8421052631578947,36.0
rice::Leaf scald,0.8783783783783784,0.9154929577464789,0.896551724137931,142.0
rice::Sheath blight,0.8487394957983193,0.8706896551724138,0.8595744680851064,116.0
rice::Tungro,0.8939393939393939,0.8428571428571429,0.8676470588235294,70.0
soybean::Bacterial blight,0.6190476190476191,0.7647058823529411,0.6842105263157895,17.0
soybean::Downy mildew,0.75,1.0,0.8571428571428571,18.0
soybean::Dry leaf,1.0,1.0,1.0,6.0
soybean::Frogeye leaf spot,0.7735849056603774,0.7592592592592593,0.7663551401869159,54.0
soybean::Healthy,0.959731543624161,0.9285714285714286,0.9438943894389439,308.0
soybean::Mosaic virus,0.7664233576642335,0.875,0.8171206225680934,120.0
soybean::Rust,0.74375,0.8439716312056738,0.7906976744186046,141.0
soybean::Semilooper caterpillar (pest),0.9523809523809523,0.8661417322834646,0.9072164948453608,254.0
soybean::Septoria brown spot,0.6551724137931034,0.6666666666666666,0.6608695652173913,57.0
soybean::Vein necrosis,1.0,1.0,1.0,2.0
spinach::Anthracnose,0.7142857142857143,0.7142857142857143,0.7142857142857143,14.0
spinach::Bacterial spot,0.75,0.7894736842105263,0.7692307692307693,76.0
spinach::Downy mildew,0.6585365853658537,0.7941176470588235,0.72,34.0
spinach::Healthy,0.8202247191011236,0.8295454545454546,0.8248587570621468,88.0
spinach::Insect pest damage,0.8360655737704918,0.6891891891891891,0.7555555555555555,74.0
squash::Healthy,0.7567567567567568,0.9032258064516129,0.8235294117647058,62.0
squash::Powdery mildew,0.9888475836431226,0.8956228956228957,0.9399293286219081,297.0
strawberry::Anthracnose,1.0,0.8,0.8888888888888888,15.0
strawberry::Healthy,0.9753086419753086,1.0,0.9875,79.0
strawberry::Leaf scorch,0.9921259842519685,0.9921259842519685,0.9921259842519685,127.0
sugarcane::Banded chlorosis,0.8333333333333334,0.8333333333333334,0.8333333333333334,6.0
sugarcane::Brown spot,0.8947368421052632,1.0,0.9444444444444444,17.0
sugarcane::Dried leaf,1.0,0.6666666666666666,0.8,6.0
sugarcane::Grassy shoot,0.5,1.0,0.6666666666666666,3.0
